2016/01/25 08:38:19 INFO  - jmeter.protocol.http.proxy.ProxyControl: Creating Proxy CA in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:39:08 INFO  - jmeter.protocol.http.proxy.ProxyControl: Created keystore in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:39:08 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8080 
2016/01/25 08:39:08 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2016/01/25 08:40:38 INFO  - jmeter.protocol.http.proxy.Proxy: Proxy will remove the headers: If-Modified-Since,If-None-Match,Host 
2016/01/25 08:40:39 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4044] Creating entry tiles.services.mozilla.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:40:41 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = LENOVO-B50-70 
2016/01/25 08:40:41 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2016/01/25 08:40:41 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2016/01/25 08:40:41 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2016/01/25 08:40:41 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2016/01/25 08:40:42 INFO  - jmeter.protocol.http.proxy.FormCharSetFinder: Using htmlparser version: 2.0 (Release Build Sep 17, 2006) 
2016/01/25 08:40:43 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/01/25 08:41:10 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4051] Creating entry a.wpimg.pl in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:41:10 INFO  - jmeter.protocol.http.proxy.Proxy: [4044] KeyStore for SSL loaded OK and put host 'tiles.services.mozilla.com' in map with key (tiles.services.mozilla.com) 
2016/01/25 08:41:11 WARN  - jmeter.protocol.http.proxy.Proxy: [4044] Problem with SSL certificate for 'tiles.services.mozilla.com'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:41:41 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4045] Creating entry y.wpimg.pl in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:41:41 INFO  - jmeter.protocol.http.proxy.Proxy: [4051] KeyStore for SSL loaded OK and put host 'a.wpimg.pl' in map with key (a.wpimg.pl) 
2016/01/25 08:41:42 WARN  - jmeter.protocol.http.proxy.Proxy: [4051] Problem with SSL certificate for 'a.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:41:43 WARN  - jmeter.protocol.http.proxy.HttpRequestHdr: Url 'http://rek.www.wp.pl/g/fsc.gif?232303,4c727055666c5673647a49414448694f,014|068|018|067|092|008|060|061|062|063|064|065|066|078|079|080|081|083|087|097|088,139a1aa0ebed511aeaafa6cf6b699512' contains unsafe characters, will escape it, message:Illegal character in query at index 74: http://rek.www.wp.pl/g/fsc.gif?232303,4c727055666c5673647a49414448694f,014|068|018|067|092|008|060|061|062|063|064|065|066|078|079|080|081|083|087|097|088,139a1aa0ebed511aeaafa6cf6b699512 
2016/01/25 08:42:16 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4049] Creating entry 5-edge-chat.facebook.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:42:17 INFO  - jmeter.protocol.http.proxy.Proxy: [4045] KeyStore for SSL loaded OK and put host 'y.wpimg.pl' in map with key (y.wpimg.pl) 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4045] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4185] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4184] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4182] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4181] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4183] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4189] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4186] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4188] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4187] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4190] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
